NumIters,Seconds,LearningRate,loss
18600.0,3245.419458,0.001,8.77981e-05
18620.0,3247.584185,0.001,0.00125066
18640.0,3249.739326,0.001,0.00114828
18660.0,3251.889302,0.001,0.000230891
18680.0,3254.054046,0.001,0.000131917
18700.0,3256.216729,0.001,0.000413525
18720.0,3258.356711,0.001,0.000437694
18740.0,3260.510278,0.001,0.00364995
18760.0,3262.676582,0.001,0.000699307
18780.0,3264.830264,0.001,0.0018254
18800.0,3266.990774,0.001,0.00429773
18820.0,3269.156332,0.001,0.000245741
18840.0,3271.316268,0.001,0.00108414
18860.0,3273.47656,0.001,0.00114566
18880.0,3275.629961,0.001,0.000105697
18900.0,3277.768919,0.001,0.000739001
18920.0,3279.900223,0.001,0.000216875
18940.0,3282.070452,0.001,0.00328079
18960.0,3284.223076,0.001,0.00175365
18980.0,3286.401083,0.001,0.00327234
19000.0,3302.975699,0.001,0.00199872
19020.0,3305.237734,0.001,0.00153599
19040.0,3307.508103,0.001,0.00112042
19060.0,3309.755488,0.001,0.00228314
19080.0,3312.019548,0.001,0.000285941
19100.0,3314.280241,0.001,0.00293206
19120.0,3316.579095,0.001,0.00041548
19140.0,3318.766745,0.001,0.00145471
19160.0,3320.914548,0.001,0.000511439
19180.0,3323.086509,0.001,0.00654331
19200.0,3325.242486,0.001,0.000620337
19220.0,3327.383466,0.001,0.00121572
19240.0,3329.495701,0.001,0.000166453
19260.0,3331.633335,0.001,0.00146154
19280.0,3333.777009,0.001,0.00258387
19300.0,3335.926816,0.001,0.00109537
19320.0,3338.054325,0.001,0.00144379
19340.0,3340.194018,0.001,0.000337248
19360.0,3342.342688,0.001,0.00530293
19380.0,3344.49661,0.001,0.000457012
19400.0,3346.65672,0.001,0.000888947
19420.0,3348.818786,0.001,0.00233003
19440.0,3350.957743,0.001,0.00978775
19460.0,3353.105866,0.001,0.000670647
19480.0,3355.256486,0.001,0.000485567
19500.0,3357.403765,0.001,0.000495861
19520.0,3359.562788,0.001,0.0156699
19540.0,3361.707743,0.001,0.00269457
19560.0,3363.863237,0.001,0.00104646
19580.0,3366.014352,0.001,0.000240832
19600.0,3368.173585,0.001,0.000827037
19620.0,3370.334148,0.001,0.0061245
19640.0,3372.48034,0.001,0.00558597
19660.0,3374.617414,0.001,0.000297945
19680.0,3376.754324,0.001,0.00623989
19700.0,3378.900918,0.001,0.000193225
19720.0,3381.053849,0.001,0.000877889
19740.0,3383.198902,0.001,0.000460974
19760.0,3385.34069,0.001,0.000467033
19780.0,3387.49877,0.001,0.00119707
